ルールID,場所コード,対象曜日,対象週,必要人数,ランク条件,ランク人数,選出元場所,選出元ランク,備考
SR-01,ア,火,-,2,A,2,-,-,火曜治療日
SR-02,ア,木,-,2,-,-,-,-,木曜2名
SR-03,HB,金,1,2,A,2,-,-,第1金曜
SR-04,HB,木,4,3,A,3,-,-,第4木曜
SR-05,OP,金,1,1,-,-,HB,A,第1金曜TAVI検査
SR-06,精,水金,-,1,A,1,-,-,水金Aランクのみ
SR-07,ポ,-,-,2,D同士禁止,-,-,-,D×D組み合わせ禁止
SR-08,病CT,-,-,6,A,2,-,-,Aランク2名以上
SR-08b,病CT,-,-,6,B,1,-,-,Bランク1名以上
SR-08c,病CT,-,-,6,CD上限,3,-,-,CD合計3名まで
SR-09,CT,-,-,4,A,1,-,-,Aランク1名以上
SR-09b,CT,-,-,4,CD単独禁止,-,-,-,CD同士の組み合わせ禁止

---対象曜日の凡例---
月,火,水,木,金,土,日: 単一曜日
水金: 複数曜日
-: 全曜日

---対象週の凡例---
1,2,3,4,5: 第N週（その月のN番目のその曜日）
-: 毎週

---ランク条件の凡例---
A,B,C,D: 指定ランク以上
D同士禁止: Dランク同士の組み合わせ禁止
CD上限: C+Dランクの合計人数上限
CD単独禁止: C・Dランクのみでの配置禁止
-: 条件なし
